h3_id,suburb,month,sr_count
88ad36c6a5fffff,EERSTERIVIER,Mar 2020,82
88ad361ae3fffff,OAKDALE,Jan 2020,82
88ad36c6a9fffff,ELECTRIC CITY,Oct 2020,82
88ad36103bfffff,BONTEHEUWEL,Oct 2020,82
88ad36024bfffff,KENSINGTON,Sep 2020,82
88ad36c6b3fffff,MFULENI,Jul 2020,82
88ad36c6a5fffff,EERSTERIVIER,Jun 2020,81
88ad3670e9fffff,AVONDALE - WESFLEUR,Oct 2020,81
88ad3689e7fffff,ILITHA PARK,Oct 2020,81
88ad36c643fffff,RIVERSIDE,Feb 2020,81
88ad368989fffff,TAFELSIG,Nov 2020,81
88ad361189fffff,ELSIES RIVER,Jan 2020,81
88ad361509fffff,WOODSTOCK,Oct 2020,81
88ad361057fffff,MANENBERG,Aug 2020,81
88ad361165fffff,KALKFONTEIN,Nov 2020,80
88ad36c4d7fffff,SILVERSANDS,Jan 2020,80
88ad36c6adfffff,EERSTERIVIER,Feb 2020,80
88ad36898bfffff,TAFELSIG,Nov 2020,80
88ad361547fffff,WOODSTOCK,Dec 2020,80
88ad36c493fffff,WESBANK,Mar 2020,80
88ad361051fffff,MANENBERG,May 2020,80
88ad36132bfffff,DELFT SOUTH,Feb 2020,80
88ad361307fffff,DELFT SOUTH,Jan 2020,80
88ad361033fffff,BONTEHEUWEL,Oct 2020,80
88ad36103bfffff,BONTEHEUWEL,Mar 2020,80
88ad3689e1fffff,HARARE,Jan 2020,80
88ad368989fffff,TAFELSIG,Aug 2020,80
88ad3689b1fffff,BEACON VALLEY,Sep 2020,80
88ad36c6b3fffff,MFULENI,Jan 2020,80
88ad36122bfffff,PHILIPPI,Jul 2020,79
88ad361133fffff,RAVENSMEAD,Nov 2020,79
88ad36c6b3fffff,MFULENI,Mar 2020,79
88ad361089fffff,HAZENDAL,Aug 2020,79
88ad361057fffff,MANENBERG,Jul 2020,79
88ad36893bfffff,KUYASA,Sep 2020,79
88ad361133fffff,RAVENSMEAD,Mar 2020,79
88ad3685adfffff,SUNNYDALE,Dec 2020,79
88ad36123dfffff,PHILIPPI,Mar 2020,79
88ad368d35fffff,LOTUS RIVER,Jul 2020,79
88ad36132bfffff,DELFT SOUTH,Jan 2020,79
88ad361027fffff,BISHOP LAVIS,Sep 2020,79
88ad3689d7fffff,TAFELSIG,Feb 2020,79
88ad368dc9fffff,RETREAT,Jul 2020,79
88ad3612a9fffff,HANOVER PARK,Mar 2020,79
88ad361b33fffff,SCOTTSDENE,Oct 2020,78
88ad361b37fffff,WALLACEDENE,Jan 2020,78
88ad361231fffff,PHILIPPI,Jan 2020,78
88ad36c6a3fffff,HILLCREST HEIGHTS,Jan 2020,78
88ad361ac7fffff,BELLVILLE CBD,Nov 2020,78
88ad3656d5fffff,GREENVILLE GARDEN CITY,Oct 2020,78
88ad3689d7fffff,TAFELSIG,Mar 2020,78
88ad36c643fffff,RIVERSIDE,Mar 2020,78
88ad36118dfffff,LEONSDALE,Dec 2020,78
88ad36d545fffff,SIR LOWRY'S PASS,Nov 2020,78
88ad361165fffff,KALKFONTEIN,Oct 2020,78
88ad361509fffff,WOODSTOCK,Sep 2020,78
88ad368d15fffff,GRASSY PARK,Oct 2020,78
88ad361519fffff,CAPE TOWN CITY CENTRE,Jul 2020,78
88ad36c6adfffff,EERSTERIVIER,Nov 2020,77
88ad3689b1fffff,BEACON VALLEY,Nov 2020,77
88ad368d31fffff,LOTUS RIVER,Jan 2020,77
88ad36d425fffff,NOMZAMO,May 2020,77
88ad361365fffff,MFULENI,Mar 2020,77
88ad360245fffff,WINDERMERE,Nov 2020,77
88ad361057fffff,MANENBERG,Oct 2020,77
88ad36186dfffff,NORTHPINE,Jan 2020,77
88ad361821fffff,LANGEBERG RIDGE,Oct 2020,77
88ad36d425fffff,ASANDA,Mar 2020,77
88ad3610e9fffff,BRIDGETOWN,Nov 2020,77
88ad368d35fffff,LOTUS RIVER,Nov 2020,77
88ad3689e3fffff,ILITHA PARK,Nov 2020,77
88ad361089fffff,HAZENDAL,Oct 2020,77
88ad361207fffff,PHILIPPI,Oct 2020,77
88ad3611e7fffff,PAROW VALLEY,Oct 2020,77
88ad361127fffff,BELLVILLE SOUTH,Feb 2020,77
88ad368983fffff,EASTRIDGE,Mar 2020,77
88ad36898bfffff,TAFELSIG,Oct 2020,77
88ad368d0dfffff,PELIKAN PARK,Nov 2020,76
88ad3610cdfffff,RYLANDS,Aug 2020,76
88ad36899dfffff,EASTRIDGE,Nov 2020,76
88ad3689bbfffff,BEACON VALLEY,Feb 2020,76
88ad36118dfffff,LEONSDALE,Nov 2020,76
88ad3610e1fffff,LANGA,Mar 2020,76
88ad361127fffff,BELLVILLE SOUTH,Mar 2020,76
88ad3670e9fffff,AVONDALE - WESFLEUR,Sep 2020,75
88ad36d553fffff,NOMZAMO,Jan 2020,75
88ad361015fffff,HEIDEVELD,Oct 2020,75
88ad36c6a5fffff,EERSTERIVIER,Nov 2020,75
88ad36118dfffff,LEONSDALE,Jan 2020,75
88ad3670e1fffff,AVONDALE - WESFLEUR,Jul 2020,75
88ad361033fffff,BONTEHEUWEL,Jan 2020,75
88ad36893bfffff,KUYASA,Dec 2020,75
88ad36c4d7fffff,SILVERSANDS,Feb 2020,75
88ad360155fffff,DUNOON,Mar 2020,75
88ad361353fffff,PHILIPPI,Apr 2020,75
88ad360155fffff,DUNOON,Jan 2020,75
88ad36898bfffff,TAFELSIG,Feb 2020,74
88ad36103bfffff,BONTEHEUWEL,Dec 2020,74
88ad3612e9fffff,PHILIPPI,Aug 2020,74
88ad36d55bfffff,LWANDLE,Nov 2020,74
88ad36d5bdfffff,HELDERVUE,Jun 2020,74
88ad361223fffff,PHILIPPI,Apr 2020,74
88ad3689e7fffff,ILITHA PARK,Sep 2020,74
88ad36118dfffff,LEONSDALE,Oct 2020,74
88ad361509fffff,WOODSTOCK,Nov 2020,74
88ad3656d5fffff,GREENVILLE GARDEN CITY,Jan 2020,74
88ad361761fffff,CLAREMONT,Sep 2020,74
88ad3615c1fffff,SEA POINT,Oct 2020,74
88ad3610e7fffff,LANGA,Jun 2020,74
88ad36103bfffff,BONTEHEUWEL,Aug 2020,74
88ad361033fffff,BONTEHEUWEL,May 2020,74
88ad361223fffff,PHILIPPI,Dec 2020,74
88ad361001fffff,GUGULETU,Mar 2020,74
88ad36c4d7fffff,SILVERSANDS,Nov 2020,73
88ad3685adfffff,SUNNYDALE,Jul 2020,73
88ad368d33fffff,PARKWOOD,Jul 2020,73
88ad368897fffff,STRANDFONTEIN,Feb 2020,73
88ad36c6abfffff,FOREST VILLAGE,Nov 2020,73
88ad36134dfffff,VICTORIA MXENGE,Sep 2020,73
88ad368d35fffff,LOTUS RIVER,Dec 2020,73
88ad361149fffff,LEIDEN,Mar 2020,73
88ad368989fffff,TAFELSIG,Apr 2020,73
88ad36c6a3fffff,HILLCREST HEIGHTS,Oct 2020,73
88ad36194bfffff,WALLACEDENE,Sep 2020,73
88ad361111fffff,UITSIG,Dec 2020,73
88ad360245fffff,WINDERMERE,Feb 2020,73
88ad36d553fffff,NOMZAMO,Aug 2020,73
88ad36156bfffff,SALT RIVER,Oct 2020,73
88ad360251fffff,BROOKLYN,Oct 2020,73
88ad360245fffff,WINDERMERE,Sep 2020,73
88ad361033fffff,BONTEHEUWEL,Jun 2020,73
88ad361357fffff,PHILIPPI,Dec 2020,73
88ad36134dfffff,VICTORIA MXENGE,Oct 2020,72
88ad3610e7fffff,LANGA,May 2020,72
88ad36c4d7fffff,SILVERSANDS,Mar 2020,72
88ad3689bbfffff,BEACON VALLEY,Dec 2020,72
88ad36c4d7fffff,SILVERSANDS,Oct 2020,72
88ad361267fffff,NEW WOODLANDS,Sep 2020,72
88ad36898bfffff,TAFELSIG,Sep 2020,72
88ad361117fffff,UITSIG,Oct 2020,72
88ad36d425fffff,NOMZAMO,Aug 2020,72
88ad3670e9fffff,AVONDALE - WESFLEUR,Mar 2020,72
88ad361113fffff,EUREKA ESTATE,Oct 2020,72
88ad3610ddfffff,ATHLONE,Jul 2020,72
88ad36899dfffff,EASTRIDGE,Jan 2020,72
88ad361015fffff,HEIDEVELD,Sep 2020,72
88ad361057fffff,MANENBERG,Feb 2020,72
88ad3689bbfffff,BEACON VALLEY,Nov 2020,72
88ad36c643fffff,RIVERSIDE,Dec 2020,72
88ad3689d5fffff,TAFELSIG,Sep 2020,72
88ad3615c1fffff,SEA POINT,Feb 2020,72
88ad361149fffff,LEIDEN,Jan 2020,72
88ad3611e9fffff,CONNAUGHT,Jan 2020,72
88ad368983fffff,EASTRIDGE,Feb 2020,72
88ad36c6a9fffff,ELECTRIC CITY,Dec 2020,72
88ad36c6a3fffff,HILLCREST HEIGHTS,Nov 2020,71
88ad361143fffff,DELFT 1 & 2,Feb 2020,71
88ad36c4d7fffff,SILVERSANDS,Jul 2020,71
88ad3612a9fffff,HANOVER PARK,Jul 2020,71
88ad361037fffff,BONTEHEUWEL,Mar 2020,71
88ad3689a1fffff,KHAYA,Jan 2020,71
88ad36893bfffff,KUYASA,Jul 2020,71
88ad3611edfffff,RAVENSMEAD,Aug 2020,71
88ad368c2dfffff,LAVENDER HILL,Jul 2020,71
88ad36c4d9fffff,MFULENI,Jan 2020,71
88ad36c60bfffff,MACASSAR VILLAGE,Oct 2020,71
88ad368c25fffff,LAVENDER HILL,Oct 2020,71
88ad368c2dfffff,LAVENDER HILL,Sep 2020,71
88ad361235fffff,PHILIPPI,Jan 2020,71
88ad3670e7fffff,SAXONSEA,May 2020,71
88ad361041fffff,NYANGA,Mar 2020,71
88ad36126bfffff,WOODLANDS,Feb 2020,71
88ad3689e7fffff,ILITHA PARK,Nov 2020,70
88ad3689bbfffff,BEACON VALLEY,Sep 2020,70
88ad3611c7fffff,ELSIES RIVER,Feb 2020,70
88ad36132bfffff,DELFT 9,Feb 2020,70
88ad36899dfffff,EASTRIDGE,Mar 2020,70
88ad361037fffff,BONTEHEUWEL,Jan 2020,70
88ad36024bfffff,KENSINGTON,Jun 2020,70
88ad368d0dfffff,PELIKAN PARK,Oct 2020,70
88ad36118bfffff,RUYTERWACHT,Jun 2020,70
88ad368d15fffff,GRASSY PARK,Dec 2020,70
88ad36c493fffff,ROOSENDAL,Feb 2020,70
88ad361111fffff,UITSIG,Mar 2020,70
88ad3610b7fffff,MAITLAND,Nov 2020,70
88ad3610e1fffff,LANGA,Dec 2020,70
88ad3689b7fffff,LENTEGEUR,Oct 2020,70
88ad3610e1fffff,LANGA,Jul 2020,70
88ad3612a9fffff,HANOVER PARK,Apr 2020,70
88ad3656d5fffff,GREENVILLE GARDEN CITY,Nov 2020,70
88ad361055fffff,GUGULETU,Oct 2020,70
88ad360251fffff,BROOKLYN,Sep 2020,70
88ad361223fffff,PHILIPPI,Nov 2020,70
88ad361015fffff,HEIDEVELD,Mar 2020,70
88ad36c643fffff,RIVERSIDE,Nov 2020,70
88ad361947fffff,BLOEKOMBOS,Feb 2020,70
88ad361509fffff,WOODSTOCK,Jul 2020,70
88ad36d5bdfffff,HELDERVUE,Aug 2020,70
88ad361189fffff,ELSIES RIVER,Sep 2020,70
88ad360155fffff,DUNOON,Feb 2020,69
88ad36c4dbfffff,MFULENI,Oct 2020,69
88ad361235fffff,PHILIPPI,Aug 2020,69
88ad361307fffff,DELFT SOUTH,Sep 2020,69
88ad36101dfffff,MANENBERG,Feb 2020,69
88ad36899dfffff,EASTRIDGE,Sep 2020,69
88ad368589fffff,OCEAN VIEW,Sep 2020,69
88ad361327fffff,VOORBRUG,Jan 2020,69
88ad3612a9fffff,HANOVER PARK,Jun 2020,69
88ad3689b7fffff,LENTEGEUR,Jan 2020,69
88ad361001fffff,GUGULETU,Feb 2020,69
88ad361041fffff,NYANGA,Apr 2020,69
88ad3670e9fffff,AVONDALE - WESFLEUR,Jul 2020,69
88ad368989fffff,TAFELSIG,Dec 2020,69
88ad361027fffff,BISHOP LAVIS,Jun 2020,69
88ad368c2dfffff,LAVENDER HILL,Oct 2020,69
88ad361145fffff,ROOSENDAL,Dec 2020,69
88ad36c6cbfffff,UMRHABULO TRIANGLE,Jan 2020,69
88ad361327fffff,VOORBRUG,Nov 2020,69
88ad36c6c1fffff,UMRHABULO TRIANGLE,Oct 2020,69
88ad368ec1fffff,FISH HOEK,Dec 2020,69
88ad3689b3fffff,LENTEGEUR,Sep 2020,69
88ad36701dfffff,WITSAND,May 2020,69
88ad36134dfffff,VICTORIA MXENGE,Dec 2020,69
88ad361267fffff,NEW WOODLANDS,Jan 2020,69
88ad36156bfffff,SALT RIVER,Aug 2020,69
88ad361015fffff,HEIDEVELD,Nov 2020,69
88ad36898bfffff,TAFELSIG,Jan 2020,68
